frame,id,label,conf,center_x,center_y
32,1,person,0.8234314918518066,766,311
32,5,person,0.7881585359573364,684,228
32,10,person,0.5997610092163086,518,171
32,4,person,0.5895801186561584,374,128
32,3,person,0.5790570378303528,458,295
32,9,person,0.5280250310897827,84,196
33,1,person,0.8274889588356018,767,312
33,5,person,0.8051657676696777,689,227
33,3,person,0.5852254033088684,459,296
33,4,person,0.5733614563941956,374,128
33,10,person,0.5448551774024963,517,171
34,1,person,0.855966329574585,768,312
34,5,person,0.7714583873748779,692,226
34,3,person,0.5978109240531921,460,295
34,4,person,0.5363041758537292,375,129
34,13,person,0.5150077939033508,169,185
35,1,person,0.8483062386512756,770,313
35,5,person,0.8265360593795776,695,225
35,4,person,0.5468120574951172,375,129
35,3,person,0.5455985069274902,461,296
35,6,person,0.5383831262588501,514,172
36,1,person,0.8366385102272034,772,314
36,5,person,0.8144623637199402,697,225
36,4,person,0.5818981528282166,376,128
37,1,person,0.8576816916465759,772,314
37,5,person,0.8013973832130432,700,225
37,4,person,0.5734613537788391,377,128
38,1,person,0.8390660285949707,772,315
38,5,person,0.7251609563827515,703,229
38,4,person,0.5838067531585693,379,129
38,3,person,0.536349892616272,464,295
39,1,person,0.8514671325683594,773,317
39,5,person,0.7256959080696106,706,229
39,4,person,0.6604622006416321,381,128
39,3,person,0.6258948445320129,465,296
39,13,person,0.5218952894210815,160,186
40,1,person,0.8150429129600525,773,317
40,5,person,0.8077749013900757,708,231
40,4,person,0.6560159921646118,383,128
40,3,person,0.6415719389915466,465,296
40,9,person,0.5547597408294678,85,197
40,13,person,0.5034802556037903,159,186
41,1,person,0.8548249006271362,774,322
41,5,person,0.8132194876670837,711,231
41,4,person,0.6151807904243469,384,127
41,3,person,0.58854079246521,466,295
41,9,person,0.5800818800926208,85,196
42,1,person,0.8605010509490967,776,328
42,5,person,0.8488165736198425,713,229
42,3,person,0.58255934715271,467,295
42,4,person,0.5767970681190491,384,127
42,13,person,0.5160141587257385,156,186
42,9,person,0.5154022574424744,84,196
43,1,person,0.8588466048240662,776,334
43,5,person,0.8515505790710449,717,230
43,3,person,0.6319930553436279,469,295
43,4,person,0.5883753299713135,385,128
43,14,person,0.5479958653450012,581,283
43,9,person,0.5241514444351196,84,195
43,6,person,0.515860915184021,485,171
44,5,person,0.8576375842094421,719,232
44,1,person,0.8292753100395203,779,337
44,4,person,0.6397637724876404,385,128
44,9,person,0.6390287280082703,85,195
44,14,person,0.5591745376586914,581,282
44,6,person,0.555673360824585,486,172
44,9,person,0.5246245265007019,119,193
